Ortalama Kapanış Fiyatı (USD),Ortalama Kapanış Fiyatı Etiket (USD),Hareketli Ortalama Yakınsaklık Diverjansı,Stokastik Osilatörü,Ortalama Gerçek Fark
594.51,596.45,-14.614878549930573,34.13741223671012,15.084999999999809
596.45,604.0699999999998,-14.214672880216355,36.08324974924779,12.194999999999936
604.0699999999998,593.735,-13.160827687019289,48.00947084411632,16.11499999999978
593.735,579.95,-12.953785637983728,36.70271463253144,18.849999999999795
579.95,564.235,-13.583384582802449,28.503476033662704,15.18500000000006
564.235,578.9449999999998,-14.905917246180568,7.536580477049493,21.090000000000032
578.9449999999998,603.085,-14.473514820548822,37.02144718380398,15.195000000000164
603.085,594.8299999999998,-12.123936958203204,85.40789737422335,25.089999999999804
594.8299999999998,601.77,-10.809451581368862,66.3234337741162,12.510000000000218
601.77,640.56,-9.16354286719553,81.36787340125726,9.555000000000177
640.56,644.51,-5.0393507467392045,100.0,46.025000000000205
644.51,649.2,-1.794836456511936,100.0,19.88000000000011
649.2,644.8050000000002,0.7810370955036081,100.0,17.329999999999814
644.8050000000002,630.62,2.1500943187125277,94.82728182192683,12.639999999999986
630.62,630.0,1.9191849142535826,78.13217207085266,27.835000000000036
630.0,631.9100000000002,1.5391713654725176,77.40245983640317,7.8700000000000045
631.9100000000002,623.0450000000002,1.2460329014123719,79.65044430059454,11.230000000000018
623.0450000000002,621.24,0.24849709475940784,69.21673630318384,21.549999999999955
621.24,621.105,-0.707310724563472,67.09233213676217,12.135000000000218
621.105,613.435,-1.4824928476647639,60.00996370365108,8.309999999999945
613.435,630.25,-2.644860120358805,34.21923855067142,13.764999999999759
630.25,632.05,-2.2822422709889025,65.14622034210049,18.565000000000055
632.05,627.44,-1.931283660378055,63.841450558717966,10.435000000000173
