Tarih,Ortalama Açılış Fiyatı (USD),Ortalama Yüksek Fiyatı (USD),Ortalama Düşük Fiyatı (USD),Ortalama Kapanış Fiyatı (USD)
2015-12-25,455.60975249999996,458.4125,449.5325000000001,456.1849974999999
2015-12-26,454.42749999999995,456.12,408.6125,418.09499999999997
2015-12-27,416.7575,427.62250000000006,409.92922250000004,423.90999999999997
2015-12-28,423.98,429.2925,417.7402725,422.195
2015-12-29,421.23120250000005,433.0325000000001,419.384725,432.26500000000004
2015-12-30,432.8474999999999,434.65249750000004,420.93,425.91467750000004
2015-12-31,425.94,433.11499999999995,418.36710750000003,430.62250000000006
2016-01-01,431.3472474999999,435.88249749999994,428.21750000000003,433.65882750000003
2016-01-02,434.7075,435.9875,431.17619,434.43999999999994
2016-01-03,434.0225,434.5299999999999,424.0575,429.87500250000005
2016-01-04,430.4325025,435.12250000000006,428.825,433.0085375
2016-01-05,432.7500025,435.144975,429.50249999999994,432.35
2016-01-06,432.197475,432.437475,427.20514000000003,429.89750000000004
2016-01-07,429.76000000000005,459.115885,429.24516750000004,458.11838499999993
2016-01-08,457.84497500000003,463.33000000000004,446.58002500000003,453.875
2016-01-09,453.1275025,456.18045249999994,447.84000000000003,449.85249999999996
2016-01-10,449.625,450.4199975,441.7075,449.0
2016-01-11,449.11832,452.3325,442.2329425,449.59764749999994
2016-01-12,449.34387499999997,449.388875,435.0875,435.775
2016-01-13,435.565,441.9425,425.15,432.922925
2016-01-14,432.565125,435.10249999999996,427.2925,430.17626249999995
2016-01-15,430.1487625,430.39000000000004,360.54749999999996,360.60499999999996
2016-01-16,360.55,391.46252499999997,351.69750000000005,388.177
2016-01-17,388.42949999999996,391.5575,376.79999999999995,380.400055
2016-01-18,380.46270000000004,388.53249999999997,373.8375,386.635
2016-01-19,386.7525,387.725,375.6775,377.997555
2016-01-20,377.89595,424.1893,373.18,417.81752500000005
2016-01-21,418.56002499999994,423.395,404.90250249999997,410.38500000000005
2016-01-22,409.8386500000001,411.55246999999997,374.5785425,382.5725
2016-01-23,382.8425,395.7225,381.5525,386.424965
2016-01-24,387.15247,406.2399975,386.39,402.01252750000003
2016-01-25,402.04557,402.08306999999996,386.4625025,391.775
2016-01-26,391.6946950000001,399.78499750000003,388.1300025,392.875
2016-01-27,391.6333333333334,396.95000000000005,390.7866666666667,394.77
2016-01-28,394.59666666666664,395.1499999999999,377.16,379.79333333333335
2016-01-29,379.43,384.5133333333333,363.74666666666667,378.6700000000001
2016-01-30,378.46999999999997,381.15000000000003,374.48333333333335,377.07
2016-01-31,377.48,380.39000000000004,364.7366666666667,367.8066666666667
2016-02-01,368.01666666666665,378.7833333333333,366.22333333333336,371.3933333333334
2016-02-02,371.31,374.9666666666667,370.57,373.0466666666667
2016-02-03,372.99333333333334,373.5533333333333,365.71000000000004,368.81
2016-02-04,368.8833333333334,390.8333333333333,368.69000000000005,387.8333333333333
2016-02-05,387.7833333333333,389.5733333333333,383.22333333333336,384.83
2016-02-06,384.86666666666673,384.93333333333334,370.4466666666667,375.0833333333333
2016-02-07,375.27666666666664,379.5333333333333,372.92333333333335,375.6766666666667
2016-02-08,375.92333333333335,378.7833333333333,370.2833333333333,371.09666666666664
2016-02-09,371.07,375.74333333333334,369.76666666666665,372.50333333333333
2016-02-10,372.7866666666667,383.02,371.8533333333333,378.6766666666667
2016-02-11,378.62999999999994,379.6666666666667,368.4566666666667,376.4266666666667
2016-02-12,376.88000000000005,383.14000000000004,376.1766666666667,382.70666666666665
2016-02-13,382.68333333333334,392.3933333333334,382.33,390.66333333333336
2016-02-14,390.9533333333334,406.4066666666667,390.82,405.72666666666663
2016-02-15,405.8233333333333,409.1666666666667,394.1666666666667,399.06666666666666
2016-02-16,399.27,407.8166666666666,394.73,407.3866666666667
2016-02-17,407.39000000000004,420.8,405.16333333333336,415.1233333333333
2016-02-18,415.1366666666666,424.1033333333333,414.15333333333336,421.0566666666667
2016-02-19,421.04333333333324,421.8933333333334,415.0,420.0466666666666
2016-02-20,420.2200000000001,443.6266666666667,419.84999999999997,435.46
2016-02-21,436.02666666666676,447.7966666666667,425.81666666666666,438.25333333333333
2016-02-22,438.2466666666667,438.8833333333334,431.27,437.74333333333334
2016-02-23,437.60999999999996,440.12999999999994,414.5733333333333,419.59666666666664
2016-02-24,419.7033333333334,424.71000000000004,410.0533333333333,423.24333333333334
2016-02-25,423.88666666666666,426.24,417.26000000000005,422.85999999999996
2016-02-26,422.99333333333334,430.8666666666666,418.71,430.8666666666666
2016-02-27,431.1366666666666,434.23,428.9266666666667,431.58
2016-02-28,431.57666666666665,434.91,422.31666666666666,432.1333333333334
2016-02-29,431.4866666666667,440.74333333333334,429.19,435.68666666666667
2016-03-01,436.2366666666667,437.35999999999996,427.25666666666666,432.82333333333327
2016-03-02,433.05,434.67333333333335,419.9066666666667,421.65333333333336
2016-03-03,421.2533333333333,423.4533333333333,413.42333333333335,419.54333333333335
2016-03-04,419.5033333333333,422.8999999999999,406.3033333333333,407.5833333333333
2016-03-05,406.99499999999995,408.38225,384.37275,396.40525
2016-03-06,396.3,410.03175,388.9675,403.19475
2016-03-07,403.38225000000006,415.4875,399.16875,412.16
2016-03-08,412.31825,414.97175,408.03499999999997,411.7925
2016-03-09,411.66249999999997,413.8987500000001,408.3,412.4325
2016-03-10,412.03749999999997,419.93050000000005,409.85749999999996,416.01000000000005
2016-03-11,416.08750000000003,422.01750000000004,415.21500000000003,419.63975
2016-03-12,419.375,420.8022499999999,406.7049999999999,409.76875
2016-03-13,410.0102500000001,415.75625,409.29750000000007,411.495
2016-03-14,411.91525,415.799,410.3175,414.81274999999994
2016-03-15,414.7375,417.0522499999999,412.37325,415.50249999999994
2016-03-16,415.58,417.1,413.31275000000005,416.63649999999996
2016-03-17,416.72149999999993,420.4525,416.0825,418.803
2016-03-18,419.07124999999996,419.384,403.08774999999997,408.60025
2016-03-19,408.41800000000006,410.50325000000004,404.96175000000005,409.5975
2016-03-20,409.58500000000004,413.58949999999993,408.71750000000003,411.85225
2016-03-21,411.46225000000004,412.57724999999994,407.159,411.83450000000005
2016-03-22,411.6275,417.4875,410.89975000000004,416.8175
2016-03-23,417.0699999999999,418.57250000000005,413.8199999999999,417.01750000000004
2016-03-24,416.89400000000006,417.6525,412.4225,414.41499999999996
2016-03-25,414.42,417.51224999999994,412.395,415.72024999999996
2016-03-26,415.8227500000001,417.5375,414.68500000000006,417.03075
2016-03-27,417.11574999999993,427.70475,416.0625,424.95175
2016-03-28,424.868,425.28999999999996,420.62350000000004,422.81499999999994
2016-03-29,422.82749999999993,425.32975,407.02250000000004,416.0924999999999
2016-03-30,415.5825,416.005,408.70325,413.073
2016-03-31,413.24050000000005,418.0370000000001,412.53550000000007,415.64250000000004
2016-04-01,415.78999999999996,417.68975,414.3625,417.235
2016-04-02,417.28999999999996,421.0575,417.03999999999996,419.84250000000003
2016-04-03,419.83525000000003,420.3825,416.90975,419.69425
2016-04-04,419.4575,420.50250000000005,416.6279999999999,419.59
2016-04-05,419.2375,423.5625000000001,418.23,422.66999999999996
2016-04-06,422.73999999999995,423.60275,420.84499999999997,421.9625
2016-04-07,421.7575,423.005,419.3125,421.4
2016-04-08,421.4825,424.765,416.7425,418.91274999999996
2016-04-09,418.86033333333336,419.75,414.17,418.593
2016-04-10,418.715,422.8996666666667,417.8733333333333,421.41333333333336
2016-04-11,421.4466666666667,423.76666666666665,419.45866666666666,423.3866666666666
2016-04-12,423.2466666666667,428.93266666666665,422.37999999999994,426.68333333333334
2016-04-13,426.6033333333333,427.7166666666667,422.61999999999995,424.34933333333333
2016-04-14,424.4700000000001,426.033,422.81624999999997,425.0847500000001
2016-04-15,425.3575,430.31000000000006,424.25175,429.5924999999999
2016-04-16,429.36949999999996,433.07624999999996,416.74300000000005,430.50225
2016-04-17,430.83,431.7715,414.162,428.0825000000001
2016-04-18,427.9075000000001,430.672,426.7875,428.7375
2016-04-19,428.71750000000003,437.302,427.4875,436.26175
2016-04-20,436.1122500000001,443.82250000000005,434.55249999999995,441.72374999999994
2016-04-21,441.8112499999999,452.56724999999994,440.525,451.067
2016-04-22,450.83150000000006,451.47249999999997,443.4325,447.92474999999996
2016-04-23,447.43825,452.18525,445.0789999999999,452.0802500000001
2016-04-24,452.07775,463.005,448.7125,460.245
2016-04-25,460.25,470.2375,454.43500000000006,463.35299999999995
2016-04-26,463.9345,470.31000000000006,462.65375000000006,468.36
2016-04-27,467.9674999999999,469.2795,443.0325000000001,444.93500000000006
2016-04-28,445.57,450.96875,435.26425,449.92749999999995
2016-04-29,450.2725,457.51750000000004,446.68499999999995,457.29499999999996
2016-04-30,457.36499999999995,457.7025,447.7900000000001,450.2915
2016-05-01,450.3285,454.67975000000007,448.34775,453.6130000000001
2016-05-02,453.88500000000005,454.64,439.84749999999997,444.95124999999996
2016-05-03,444.91049999999996,452.4875,442.3375,451.39250000000004
2016-05-04,451.53749999999997,451.96875,445.57250000000005,447.62524999999994
2016-05-05,447.7745,450.2099999999999,446.45349999999996,448.93
2016-05-06,448.93249999999995,463.50975000000005,447.61025,461.00774999999993
2016-05-07,460.42,462.088,457.855,459.5625
2016-05-08,459.6225,461.63199999999995,456.3495000000001,459.8424999999999
2016-05-09,459.36000000000007,464.82,456.7900000000001,461.945
2016-05-10,462.10275,463.4175,448.0625,451.91999999999996
2016-05-11,451.81224999999995,456.67749999999995,450.81499999999994,452.995
2016-05-12,453.0075,455.5675,448.61350000000004,455.5325000000001
2016-05-13,455.43225,457.03249999999997,452.523,456.14275
2016-05-14,456.52325,457.53475,452.5715,455.95275000000004
2016-05-15,455.8675000000001,459.6092500000001,452.5875,458.21225000000004
2016-05-16,458.22675,458.63500000000005,450.89925000000005,454.05975
2016-05-17,453.78999999999996,455.73,451.77250000000004,453.35074999999995
2016-05-18,453.012,456.2,452.48375000000004,453.48249999999996
2016-05-19,453.59999999999997,454.4049999999999,433.5825,435.14250000000004
2016-05-20,434.7,444.28475,433.27275,441.65625
2016-05-21,442.78749999999997,443.92749999999995,436.4955,442.76275
2016-05-22,442.62275,443.84000000000003,436.73499999999996,439.2724999999999
2016-05-23,439.3625,444.2254999999999,437.4425,443.7875
2016-05-24,443.5025,446.66125,441.37250000000006,445.12399999999997
2016-05-25,445.0625,450.20500000000004,444.76000000000005,449.3525000000001
2016-05-26,449.22999999999996,453.5975,446.97249999999997,453.22974999999997
2016-05-27,453.23225,477.9775000000001,453.0772500000001,472.03024999999997
2016-05-28,471.66775,535.1,465.17249999999996,521.355
2016-05-29,522.4745000000001,544.4875,486.8375,520.3305
2016-05-30,521.64475,538.7775,516.17425,530.195
2016-05-31,530.4,546.3075,516.53375,531.4825000000001
2016-06-01,531.4509999999999,542.4399999999999,515.58875,535.83875
2016-06-02,535.8777500000001,540.60625,531.6682500000001,537.843
2016-06-03,537.8145,577.3225,536.50775,569.975
2016-06-04,570.2305,590.5575,561.8275,574.05175
2016-06-05,574.36525,583.51225,568.01475,574.406
2016-06-06,574.1207499999999,586.67975,574.07825,585.12
2016-06-07,585.15,591.325,542.635,578.19
